,RecurrenceRate,DiagRec,Determinism,DeteRec,L,Divergence,LEn,Laminarity,TrappingTime,VMax,VEn,W,WMax,WEn,LamiDet,VDiv,WVDiv,RQA_classic_name=w_FHJ_3_15_15_window=1000_step=25_rettype=6_m=1_tau=1_eps=0.3.txt
9275,0.1933993993993994,-0.05344646321898836,0.3515522292268356,1.8177524352122023,2.2450585046605407,0.125,0.6174022959771391,0.4189207374512179,2.3238013207005457,7,0.7251506850832827,6.732366122029052,836,2.5641562276000522,1.1916315773976032,0.14285714285714285,0.0011961722488038277,22.20617
9300,0.1940900900900901,-0.037646734391541516,0.35108511779510665,1.8088770922417767,2.2450366070839656,0.125,0.6173819201376085,0.410405578248133,2.3216244602637413,7,0.721255547142087,6.686900071166964,861,2.559141245945735,1.1689631871198989,0.14285714285714285,0.0011614401858304297,22.36558
9325,0.19567967967967967,-0.02551509830015568,0.35456610259663196,1.8119720104665105,2.2452866861030127,0.125,0.6178002618063471,0.4092713470156125,2.326432102355336,7,0.7329042856901027,6.595428355854311,620,2.548489674337516,1.1542878578024007,0.14285714285714285,0.0016129032258064516,22.49307
9350,0.1957037037037037,-0.015377948021696822,0.3536939664873049,1.8072931671380075,2.247610999154911,0.125,0.6216032115649155,0.4053951756449864,2.315183735467664,7,0.7177142160359199,6.606047055586131,645,2.548680583843662,1.1461749819233549,0.14285714285714285,0.0015503875968992248,22.15833
9375,0.19644244244244244,-0.01092893872691671,0.35462633633296986,1.805242960348934,2.248303934871099,0.125,0.6225444310692517,0.4086809412675927,2.3226759339704603,7,0.7288444844174358,6.614083487076917,670,2.5522825821374435,1.1524269333563237,0.14285714285714285,0.0014925373134328358,22.22211
9400,0.19698298298298297,-0.014898920065408924,0.3575559236937587,1.8151614838965422,2.2533145455709986,0.125,0.6307112844147524,0.4164218999319057,2.3345108540823887,7,0.7476487634964416,6.6168883827665335,695,2.5523663378908363,1.1646343196611806,0.14285714285714285,0.0014388489208633094,22.09455
9425,0.1955015015015015,-0.044697580683964656,0.35371161152243147,1.8092526594723615,2.249495278410941,0.125,0.6245521594828795,0.4182257585532447,2.31669408361223,7,0.7223941775597056,6.646600431965442,720,2.5569299607159937,1.1823919400133176,0.14285714285714285,0.001388888888888889,22.11049
9450,0.19615015015015014,-0.037177527832284556,0.35457301203343644,1.8076611807944876,2.250728862973761,0.125,0.6265040924924241,0.4171183032752585,2.3112770048637032,7,0.7151766910742103,6.6150773151496365,745,2.556776445767242,1.1763960852043753,0.14285714285714285,0.0013422818791946308,22.60459
9475,0.19539539539539538,-0.039400493398277725,0.3554405737704918,1.8190836741635314,2.251638865450769,0.125,0.627946366040006,0.4133811475409836,2.3077275067208145,7,0.7110080831002049,6.615207412883151,770,2.5586611315916845,1.163010579112738,0.14285714285714285,0.0012987012987012987,22.23805
9500,0.19635435435435436,-0.03509606600066661,0.3568653840271618,1.8174559214670551,2.2523166023166024,0.125,0.6290268579998263,0.41723508600210035,2.315640561339973,7,0.7229497672322158,6.552738734134083,795,2.5475123178143133,1.169166595240136,0.14285714285714285,0.0012578616352201257,22.30182
9525,0.1966886886886887,-0.027012290497567454,0.3552409258392199,1.8061075510116478,2.248630887185104,0.125,0.6230054505641436,0.42218512712985773,2.3166890080428955,7,0.7237760489486487,6.535436547016674,820,2.5473550614976994,1.1884473224262917,0.14285714285714285,0.0012195121951219512,22.254
9550,0.1985185185185185,-0.001870444667120998,0.35805768455022186,1.8036487841149236,2.2502852072506023,0.125,0.6255753027760375,0.42660346914078257,2.321606937050656,7,0.7317241847322756,6.5360345003920495,845,2.551197788534309,1.191437825658358,0.14285714285714285,0.001183431952662722,22.42933
9575,0.19728128128128128,-0.006696081517390398,0.35538146171175744,1.8013947365085228,2.246744081606467,0.125,0.619847915710288,0.41772036289095005,2.312917907512502,7,0.7194430686210723,6.551410481765278,870,2.555188982882998,1.1754140491147915,0.14285714285714285,0.0011494252873563218,22.26994
9600,0.19629829829829828,-0.015183979798522023,0.3519494956706204,1.7929319750688406,2.248436278342455,0.125,0.6226416090123895,0.4192512060050382,2.3210434193439107,7,0.7316168542802454,6.554543597426033,895,2.554545845169664,1.1912254774116897,0.14285714285714285,0.0011173184357541898,22.23805
9625,0.1983043043043043,0.0020354988451150575,0.35682917226131466,1.7994020528860981,2.2512738853503187,0.125,0.6273626059243813,0.4233995941566636,2.322975517890772,7,0.7344629768531671,6.524118927745271,920,2.5463532558474724,1.1865610411656529,0.14285714285714285,0.0010869565217391304,22.49307
9650,0.19824024024024023,-0.0014146575321330682,0.3567122125609719,1.7993935647408679,2.2499522262564495,0.125,0.6252629921972147,0.42228416194544593,2.3240884837705647,7,0.7356037021349208,6.529784407888014,945,2.5496896789567898,1.183823113074005,0.14285714285714285,0.0010582010582010583,22.12644
9675,0.19711711711711713,0.0031755656760446304,0.3549867966686979,1.800892798456374,2.252932834858837,0.125,0.630074166686309,0.42256754011781433,2.3146592489568847,7,0.7218673140712236,6.589724663553969,970,2.5621498438126538,1.1903753719386587,0.14285714285714285,0.0010309278350515464,22.31776
9700,0.19622822822822822,0.001443106238357709,0.35348310479921646,1.8013876392344987,2.250828298577275,0.125,0.6266962385957583,0.4234308684296441,2.296917372295091,7,0.6964341160207462,6.618597524232563,995,2.569516824897647,1.1978814904609345,0.14285714285714285,0.0010050251256281408,22.20617
9725,0.1957037037037037,1.3393957823560206e-05,0.35221065122654827,1.7997137742461777,2.2463626280420175,0.125,0.6195019718264813,0.42655032019150113,2.282141097914728,7,0.6743359407110732,6.6547542855165975,274,2.5781165204616707,1.2110659308742378,0.14285714285714285,0.0036496350364963502,22.14239
9750,0.1965965965965966,0.007737084800532136,0.35423625254582486,1.8018432601490786,2.2490463567595524,0.125,0.623762451100902,0.42132382892057024,2.2690578041022267,7,0.6543312808560742,6.5871240069321715,299,2.5596909699452786,1.1893865348128556,0.14285714285714285,0.0033444816053511705,22.28588
9775,0.19674674674674675,0.005305772510247569,0.35466802340371406,1.8026627086253388,2.251469543311156,0.125,0.6276032143566559,0.42149071483083184,2.278312524063583,7,0.6677262288041227,6.586711054672753,324,2.558152943151446,1.1884091235116914,0.14285714285714285,0.0030864197530864196,22.0148
9800,0.1971131131131131,0.01117345650526598,0.3549533811371346,1.800759855755741,2.2510789049919486,0.125,0.6269493669348367,0.42898494789656505,2.275700431034483,7,0.6635832235026351,6.604209330740505,349,2.5595535038908275,1.2085670138491473,0.14285714285714285,0.0028653295128939827,22.54087
9825,0.19686486486486487,0.002818849816775762,0.35418064962271445,1.7991054415212018,2.2468227856267338,0.125,0.6201088630942785,0.4303699635934672,2.28213977566868,7,0.672500415985822,6.603332072487191,374,2.556837338485208,1.2151142758699895,0.14285714285714285,0.00267379679144385,22.34964
9850,0.19639039039039038,-0.016017630378364928,0.3534970488394141,1.7999712111001085,2.2446113017023754,0.14285714285714285,0.616462934325464,0.42976849444937154,2.271865064396185,5,0.6569897317996529,6.6038951002112425,399,2.5590546054172396,1.2157626092222509,0.2,0.002506265664160401,22.31776
9875,0.19667467467467467,-0.007904365597521943,0.35118435651828706,1.7856104610275387,2.2439024390243905,0.14285714285714285,0.6153707348944765,0.41934465945296673,2.2822004321090246,5,0.672148510434886,6.563406508926284,424,2.552733982192946,1.194086956521739,0.2,0.0023584905660377358,22.0786
9900,0.19687287287287286,-0.004682660011178227,0.35203075108299947,1.788112023489986,2.2469007593950803,0.14285714285714285,0.6202056193790615,0.4152311415729423,2.277102386794557,5,0.664706270934815,6.545987891191268,449,2.548266186559977,1.179530879889075,0.2,0.0022271714922048997,22.31776
9925,0.19732732732732733,0.0012447647140439208,0.35371582204636537,1.7925333851992036,2.246826061738738,0.14285714285714285,0.6201356464847138,0.4178460914117587,2.2720251558448723,5,0.6570428172218206,6.504177045735686,474,2.536039070885829,1.1813044974759062,0.2,0.002109704641350211,22.17428
9950,0.1974834834834835,0.005140019006452477,0.35384163093174376,1.7917530351916102,2.246652935118435,0.14285714285714285,0.6198802594113774,0.41545776182800603,2.2644491103989393,5,0.6453748817681568,6.48294388970551,499,2.528974154155298,1.174134769653908,0.2,0.002004008016032064,22.30182
9975,0.1984044044044044,0.00565062224200852,0.35630606540669807,1.7958576397348787,2.2466755742189983,0.14285714285714285,0.6200181344996114,0.4155676417464658,2.2761136288272357,5,0.6638445235917072,6.518620783692113,524,2.5265935804690285,1.1663221092577385,0.2,0.0019083969465648854,22.28588
10000,0.19774374374374373,-0.002670570117649768,0.35707126441436426,1.8057272389719352,2.245717924227953,0.14285714285714285,0.6184521850863018,0.42006418758162656,2.275599188284978,5,0.6629601828043568,6.534109504977499,549,2.532487869536866,1.1764155490657517,0.2,0.0018214936247723133,22.39745
10025,0.19873673673673672,-0.0014065833032093182,0.3577753377187239,1.8002476220220067,2.2488444247451405,0.14285714285714285,0.623465611745211,0.421410510834198,2.26872390042844,5,0.6525640728226597,6.526462205382896,574,2.5318840725561182,1.1778634981416827,0.2,0.0017421602787456446,22.23805
10050,0.19992192192192193,0.006138761101529639,0.3581578393967615,1.7914885769087268,2.250707947895035,0.14285714285714285,0.6264241095247015,0.42642272759135197,2.2640897490429603,5,0.6450617497679343,6.552637007495015,599,2.531865609066359,1.1906000111838058,0.2,0.001669449081803005,22.19022
10075,0.19992192192192193,-0.006178173649407528,0.3593995653959003,1.797699631640502,2.251709643013991,0.14285714285714285,0.6280140693563128,0.4317901883618229,2.2764901536349718,5,0.6629133988720438,6.5274467903239595,610,2.5260434815659973,1.2014210086375035,0.2,0.001639344262295082,22.3337
10100,0.19958958958958958,-0.021456059384195553,0.35934600531621447,1.8004245915587456,2.2513039653113807,0.14285714285714285,0.62743498435852,0.4236019860574753,2.277217578862227,5,0.6634861101851927,6.541973086483243,610,2.521804077920776,1.1788136775994416,0.2,0.001639344262295082,22.23805
10125,0.20187587587587588,0.0006803782335337844,0.3638049525471801,1.8021219770254615,2.2539321700663555,0.14285714285714285,0.6316336897017831,0.430754584130825,2.291895314478683,5,0.684100195759966,6.457629418549427,610,2.5033640832190938,1.184026168733815,0.2,0.001639344262295082,22.30182
10150,0.1988928928928929,-0.020933543091208956,0.35899423233716166,1.8049625962778166,2.2473219911783238,0.14285714285714285,0.6210401350207515,0.43053136984508844,2.281416684446341,5,0.6692673637113918,6.517227884500859,610,2.5181935449561808,1.199270993971681,0.2,0.001639344262295082,22.3337
10175,0.19895295295295296,-0.02968218471577468,0.3578192137013595,1.798511700331355,2.2430454803507223,0.14285714285714285,0.6140521342006856,0.4349396741700796,2.2698771137485556,5,0.6524743181151588,6.558030360141178,610,2.5318870636447657,1.2155291206164403,0.2,0.001639344262295082,22.254
10200,0.19868668668668668,-0.03709784444699055,0.36000161218814236,1.811906062713888,2.2454905411350636,0.14285714285714285,0.6180229510643283,0.4434021200274072,2.2927629865054966,5,0.6865955576584962,6.591001341543119,610,2.5404222728377643,1.231667039856695,0.2,0.001639344262295082,22.15833
10225,0.19913913913913914,-0.0274253837907806,0.3599376696491404,1.807468241577819,2.2452652702872196,0.14285714285714285,0.6176146864424956,0.4436513521664824,2.295806887940901,5,0.6896089006261004,6.570340901296385,610,2.541551334698306,1.2325782755635004,0.2,0.001639344262295082,22.36558
10250,0.19854654654654655,-0.03573676880400639,0.35905580091556255,1.808421285390561,2.2452080706179065,0.14285714285714285,0.617514740501717,0.4465989069715853,2.3336845987670585,5,0.7424697904268156,6.6026551564031575,610,2.5440339574330375,1.2438147659299614,0.2,0.001639344262295082,22.26994
10275,0.1984164164164164,-0.03806279207176933,0.3581713063394848,1.805149557725057,2.246282351452256,0.14285714285714285,0.6192937920600092,0.4380227829964988,2.328595183178673,5,0.7356523273080755,6.578557718672882,610,2.5421667145815503,1.222942137585216,0.2,0.001639344262295082,22.26994
10300,0.19836636636636637,-0.02703720364763824,0.359371846110371,1.8116571508228403,2.247695997980053,0.14285714285714285,0.6215826196943359,0.44220055710306405,2.309212606724992,5,0.7087970479304867,6.537741628096923,513,2.5383529337864164,1.2304819141765895,0.2,0.001949317738791423,22.28588
10325,0.19881881881881883,-0.025808716336148962,0.36100090625314674,1.8157280502814097,2.247852529939181,0.14285714285714285,0.6217998074179276,0.4354546369952673,2.3021027415491084,5,0.6983566959857639,6.521234076568533,519,2.5301705848400737,1.2062425036958522,0.2,0.0019267822736030828,22.26994
10350,0.19973173173173173,-0.018306458659370424,0.36131547821903254,1.8090038827897956,2.244939901600548,0.14285714285714285,0.6170095060603757,0.43231160916544714,2.306663814311691,5,0.7043595740965248,6.45407699302819,544,2.515778482053467,1.196493466862707,0.2,0.001838235294117647,22.17428
10375,0.20027827827827827,-0.009613970278637803,0.36038944811523504,1.7994435103665563,2.242938907552569,0.14285714285714285,0.6137696330516573,0.4359899639140735,2.3083355385022495,5,0.7058494142234728,6.447276277691738,569,2.5122236943157636,1.2097744986547583,0.2,0.0017574692442882249,22.49307
10400,0.19968168168168168,-0.021555778518082404,0.36033326315156256,1.804538403908177,2.2412072836118733,0.14285714285714285,0.6109481198512586,0.4383052104951825,2.335309829059829,5,0.7473666276738663,6.484058559015451,594,2.521545083835151,1.2163884251530328,0.2,0.0016835016835016834,22.28588
